segment	ton	strs	syl	shrt	long	cons	son	cont	delr	appr	tap	trr	nas	lat	lab	rnd	labd	cor	ant	dist	strid	dors	hi	lo	fr	bk	tns	rtr	atr	voi	epi	sg	cg	fort	rlx	llx	clk
t̪ɬ̪ʷʰ|tɬʷʰ	0	-	-	-	-	+	-	-	+	-	-	-	-	+	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
t̪ɬ̪ʷʼ|tɬʷʼ	0	-	-	-	-	+	-	-	+	-	-	-	-	+	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
t̪ɬ̪ˀ|tɬˀ	0	-	-	-	-	+	-	-	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	+	-	-	-	-
t̪ɬ̪ʼ|tɬʼ	0	-	-	-	-	+	-	-	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
t̪ɬ̪ʼː|tɬʼː	0	-	-	-	+	+	-	-	+	-	-	-	-	+	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
t̪s̪|ts	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪s̪ː|tsː	0	-	-	-	+	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪s̪ʰ|tsʰ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
t̪s̪ɦ|tsɦ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
t̪s̪ʲ|tsʲ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	+	+	-	+	-	0	0	0	-	-	-	-	-	-	-	-
t̪s̪ʷː|tsʷː	0	-	-	-	+	+	-	-	+	-	-	-	-	-	+	+	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪s̪ʷʰ|tsʷʰ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	+	+	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
t̪s̪ʷʼ|tsʷʼ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	+	+	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
t̪s̪ˀ|tsˀ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	+	-	-	-	-
t̪s̪ʼ|tsʼ	0	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
t̪s̪ʼː|tsʼː	0	-	-	-	+	+	-	-	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
t̪ʷ|tʷ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-
t̪ʷʰ|tʷʰ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	+	+	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	+	-	-	-	-	-
t̪ˀ|tˀ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	+	-	-	-	-
t̪ʼ|tʼ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	0	0	-	-	-	+	-	+	-	-
t̪ˤ|tˤ	0	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	0	-	-	0	0	0	0	0	+	-	-	-	-	-	-	-	-	-
z̪|z	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
z͇̪|z͇	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
z̪ʲ|zʲ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
z̪ʷ|zʷ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	+	+	0	+	0	0	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
z̪ˤ|zˤ	0	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	0	0	+	-	0	0	0	0	0	+	-	+	-	-	-	-	-	-	-
ndzʷ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	+	+	0	+	+	-	+	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-
ndzʲ	0	-	-	-	-	+	+,-	-	+	-	-	-	+,-	-	-	0	0	+	+	-	+	+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-
